UID,Machine ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power,Tool Wear Failure,Heat Dissipation Failure,Power Failure,Overstrain Failure,Random Failure,Machine Failure
2257,L49436,Low,299.1,308.3,1489,38.1,32,56730.9,No,No,No,No,No,No
2258,L49437,Low,299.1,308.3,1892,25.2,34,47678.4,No,No,No,No,No,No
2259,L49438,Low,299.1,308.2,1319,60.3,36,79535.7,No,No,No,No,No,No
2260,L49439,Low,299.1,308.3,1431,52.3,38,74841.3,No,No,No,No,No,No
2261,H31674,High,299.1,308.3,1521,36.5,40,55516.5,No,No,No,No,No,No
2262,M17121,Medium,299.1,308.2,1435,45.2,45,64862.00000000001,No,No,No,No,No,No
2263,L49442,Low,299.1,308.3,1533,42.4,48,64999.2,No,No,No,No,No,No
2264,M17123,Medium,299.2,308.4,1529,43.0,50,65747.0,No,No,No,No,No,No
2265,M17124,Medium,299.2,308.4,1415,43.5,53,61552.5,No,No,No,No,No,No
2266,M17125,Medium,299.2,308.4,1330,51.2,56,68096.0,No,No,No,No,No,No
2267,L49446,Low,299.2,308.5,1381,60.6,59,83688.6,No,No,No,No,No,No
2268,L49447,Low,299.2,308.5,1370,52.4,61,71788.0,No,No,No,No,No,No
2269,L49448,Low,299.2,308.5,1438,46.6,63,67010.8,No,No,No,No,No,No
2270,L49449,Low,299.3,308.6,1314,48.2,65,63334.8,No,No,No,No,No,No
2271,L49450,Low,299.3,308.6,1437,48.1,67,69119.7,No,No,No,No,No,No
2272,L49451,Low,299.2,308.5,1821,26.1,69,47528.100000000006,No,No,No,No,No,No
2273,M17132,Medium,299.3,308.6,1448,52.1,71,75440.8,No,No,No,No,No,No
2274,L49453,Low,299.3,308.5,1589,32.7,74,51960.3,No,No,No,No,No,No
2275,L49454,Low,299.3,308.6,1520,33.7,76,51224.00000000001,No,No,No,No,No,No
2276,L49455,Low,299.3,308.6,1605,37.0,78,59385.0,No,No,No,No,No,No
2277,L49456,Low,299.3,308.7,1393,54.2,80,75500.6,No,No,No,No,No,No
2278,H31691,High,299.3,308.7,1408,44.4,82,62515.2,No,No,No,No,No,No
2279,M17138,Medium,299.3,308.7,1459,35.6,87,51940.4,No,No,No,No,No,No
2280,L49459,Low,299.4,308.7,1525,39.0,90,59475.0,No,No,No,No,No,No
2281,L49460,Low,299.4,308.8,1390,57.0,92,79230.0,No,No,No,No,No,No
2282,L49461,Low,299.3,308.7,1536,38.9,94,59750.399999999994,No,No,No,No,No,No
2283,L49462,Low,299.4,308.7,1459,47.6,96,69448.40000000001,No,No,No,No,No,No
2284,L49463,Low,299.2,308.5,1387,51.1,98,70875.7,No,No,No,No,No,No
2285,L49464,Low,299.2,308.5,1378,53.4,100,73585.2,No,No,No,No,No,No
2286,L49465,Low,299.4,308.7,1381,56.7,102,78302.7,No,No,No,No,No,No
2287,M17146,Medium,299.4,308.7,1289,60.5,104,77984.5,No,No,No,No,No,No
2288,L49467,Low,299.4,308.6,1746,26.8,107,46792.8,No,No,No,No,No,No
2289,M17148,Medium,299.4,308.6,1541,39.1,109,60253.100000000006,No,No,No,No,No,No
2290,L49469,Low,299.4,308.7,1504,37.8,112,56851.2,No,No,No,No,No,No
2291,M17150,Medium,299.5,308.7,1321,51.9,114,68559.9,No,No,No,No,No,No
2292,M17151,Medium,299.5,308.8,1886,20.9,117,39417.399999999994,No,No,No,No,No,No
2293,L49472,Low,299.6,308.9,1422,53.2,120,75650.40000000001,No,No,No,No,No,No
2294,L49473,Low,299.5,308.9,1520,38.3,122,58215.99999999999,No,No,No,No,No,No
2295,L49474,Low,299.4,308.8,1627,32.6,124,53040.200000000004,No,No,No,No,No,No
2296,L49475,Low,299.4,308.7,1512,37.2,126,56246.4,No,No,No,No,No,No
2297,L49476,Low,299.4,308.7,1553,42.7,128,66313.1,No,No,No,No,No,No
2298,L49477,Low,299.3,308.7,1802,26.0,130,46852.0,No,No,No,No,No,No
2299,L49478,Low,299.3,308.6,1482,37.6,132,55723.200000000004,No,No,No,No,No,No
2300,L49479,Low,299.4,308.7,1446,62.9,134,90953.4,No,No,Yes,No,No,Yes
2301,L49480,Low,299.3,308.6,1371,50.5,136,69235.5,No,No,No,No,No,No
2302,M17161,Medium,299.2,308.6,1586,35.7,138,56620.200000000004,No,No,No,No,No,No
2303,L49482,Low,299.2,308.5,1515,39.8,141,60296.99999999999,No,No,No,No,No,No
2304,L49483,Low,299.2,308.5,1374,53.6,143,73646.40000000001,No,No,No,No,No,No
2305,L49484,Low,299.1,308.5,1455,39.8,145,57908.99999999999,No,No,No,No,No,No
2306,H31719,High,299.2,308.5,1342,47.5,147,63745.0,No,No,No,No,No,No
2307,L49486,Low,299.1,308.6,1260,57.8,152,72828.0,No,No,No,No,No,No
2308,H31721,High,299.0,308.5,1623,33.5,154,54370.5,No,No,No,No,No,No
2309,L49488,Low,299.1,308.5,1371,55.5,159,76090.5,No,No,No,No,No,No
2310,L49489,Low,299.1,308.6,1611,31.4,161,50585.399999999994,No,No,No,No,No,No
2311,M17170,Medium,299.0,308.4,1535,47.5,163,72912.5,No,No,No,No,No,No
2312,M17171,Medium,299.1,308.6,1491,38.5,166,57403.5,No,No,No,No,No,No
2313,M17172,Medium,299.1,308.6,1441,36.2,169,52164.200000000004,No,No,No,No,No,No
2314,M17173,Medium,299.1,308.8,1725,26.6,172,45885.0,No,No,No,No,No,No
2315,L49494,Low,299.2,308.9,1368,47.2,175,64569.600000000006,No,No,No,No,No,No
2316,L49495,Low,299.2,308.9,1526,37.9,177,57835.4,No,No,No,No,No,No
2317,L49496,Low,299.2,308.8,1542,39.2,179,60446.4,No,No,No,No,No,No
2318,L49497,Low,299.2,308.8,1605,31.1,181,49915.5,No,No,No,No,No,No
2319,L49498,Low,299.2,308.8,1405,51.4,183,72217.0,No,No,No,No,No,No
2320,M17179,Medium,299.2,308.8,1700,33.5,185,56950.0,No,No,No,No,No,No
2321,H31734,High,299.2,308.8,1440,39.1,188,56304.0,No,No,No,No,No,No
2322,M17181,Medium,299.2,308.8,1314,52.5,193,68985.0,No,No,No,No,No,No
2323,L49502,Low,299.2,308.7,1514,41.9,196,63436.6,No,No,No,No,No,No
2324,M17183,Medium,299.2,308.7,1401,47.0,198,65847.0,No,No,No,No,No,No
2325,L49504,Low,299.3,308.8,1636,29.9,201,48916.399999999994,No,No,No,No,No,No
2326,L49505,Low,299.3,308.8,1603,33.9,203,54341.7,No,No,No,No,No,No
2327,M17186,Medium,299.4,308.7,1487,52.6,205,78216.2,No,No,No,No,No,No
2328,M17187,Medium,299.3,308.7,1420,50.3,208,71426.0,No,No,No,No,No,No
2329,L49508,Low,299.3,308.7,1579,36.3,211,57317.7,No,No,No,No,No,No
2330,L49509,Low,299.3,308.7,1484,40.5,213,60102.0,No,No,No,No,No,No
2331,M17190,Medium,299.3,308.7,1390,49.3,215,68527.0,No,No,No,No,No,No
2332,L49511,Low,299.3,308.6,1384,53.6,218,74182.40000000001,No,No,No,Yes,No,Yes
2333,L49512,Low,299.2,308.5,1378,50.4,220,69451.2,No,No,No,Yes,No,Yes
2334,L49513,Low,299.2,308.5,1445,45.2,222,65314.00000000001,No,No,No,No,No,No
2335,L49514,Low,299.2,308.4,1445,43.5,224,62857.5,No,No,No,No,No,No
2336,L49515,Low,299.2,308.4,1509,39.4,0,59454.6,No,No,No,No,No,No
2337,L49516,Low,299.2,308.4,1434,46.8,2,67111.2,No,No,No,No,No,No
2338,L49517,Low,299.2,308.4,1877,23.9,4,44860.299999999996,No,No,No,No,No,No
2339,L49518,Low,299.3,308.3,1651,28.0,6,46228.0,No,No,No,No,No,No
2340,L49519,Low,299.2,308.2,1466,41.3,8,60545.799999999996,No,No,No,No,No,No
2341,L49520,Low,299.1,308.1,1479,40.7,10,60195.3,No,No,No,No,No,No
2342,L49521,Low,299.1,308.2,1409,46.4,12,65377.6,No,No,No,No,No,No
2343,M17202,Medium,299.2,308.2,1674,28.2,14,47206.799999999996,No,No,No,No,No,No
2344,L49523,Low,299.1,308.3,1305,61.4,17,80127.0,No,No,No,No,No,No
2345,M17204,Medium,299.2,308.3,1755,26.4,19,46332.0,No,No,No,No,No,No
2346,L49525,Low,299.2,308.4,1475,38.7,22,57082.50000000001,No,No,No,No,No,No
2347,L49526,Low,299.2,308.4,1402,47.7,24,66875.40000000001,No,No,No,No,No,No
2348,L49527,Low,299.2,308.3,1410,43.0,26,60630.0,No,No,No,No,No,No
2349,L49528,Low,299.2,308.4,1436,41.8,28,60024.799999999996,No,No,No,No,No,No
2350,M17209,Medium,299.3,308.5,1386,42.2,30,58489.200000000004,No,No,No,No,No,No
2351,L49530,Low,299.3,308.6,1744,26.4,33,46041.6,No,No,No,No,No,No
2352,L49531,Low,299.2,308.4,1393,48.4,35,67421.2,No,No,No,No,No,No
2353,M17212,Medium,299.3,308.5,1422,45.4,37,64558.799999999996,No,No,No,No,No,No
2354,L49533,Low,299.2,308.4,1841,22.8,40,41974.8,No,No,No,No,No,No
2355,L49534,Low,299.3,308.6,1433,37.7,42,54024.100000000006,No,No,No,No,No,No
2356,M17215,Medium,299.3,308.5,1305,60.6,44,79083.0,No,No,No,No,No,No
2357,H31770,High,299.3,308.6,1498,39.5,47,59171.0,No,No,No,No,No,No
2358,L49537,Low,299.3,308.5,1772,26.1,52,46249.200000000004,No,No,No,No,No,No
2359,M17218,Medium,299.2,308.4,1381,42.5,54,58692.5,No,No,No,No,No,No
2360,L49539,Low,299.3,308.5,1413,38.5,57,54400.5,No,No,No,No,No,No
2361,H31774,High,299.2,308.4,1388,53.2,59,73841.6,No,No,No,No,No,No
2362,M17221,Medium,299.2,308.6,1631,35.4,64,57737.399999999994,No,No,No,No,No,No
2363,H31776,High,299.3,308.6,1520,41.4,67,62928.0,No,No,No,No,No,No
2364,L49543,Low,299.3,308.5,1510,45.4,72,68554.0,No,No,No,No,No,No
2365,L49544,Low,299.2,308.5,1366,49.7,74,67890.2,No,No,No,No,No,No
2366,L49545,Low,299.4,308.5,1845,22.9,76,42250.5,No,No,No,No,No,No
2367,L49546,Low,299.3,308.5,1485,44.7,78,66379.5,No,No,No,No,No,No
2368,M17227,Medium,299.3,308.5,1496,39.4,80,58942.4,No,No,No,No,No,No
2369,M17228,Medium,299.3,308.4,1468,42.2,83,61949.600000000006,No,No,No,No,No,No
2370,M17229,Medium,299.2,308.4,1856,22.7,86,42131.2,No,No,No,No,No,No
2371,L49550,Low,299.2,308.4,1620,34.1,89,55242.0,No,No,No,No,No,No
2372,L49551,Low,299.3,308.5,1409,44.8,91,63123.2,No,No,No,No,No,No
2373,M17232,Medium,299.3,308.5,1404,49.4,93,69357.59999999999,No,No,No,No,No,No
2374,L49553,Low,299.2,308.4,1350,51.3,96,69255.0,No,No,No,No,No,No
2375,M17234,Medium,299.2,308.4,1538,38.0,98,58444.0,No,No,No,No,No,No
2376,M17235,Medium,299.2,308.4,1476,32.7,101,48265.200000000004,No,No,No,No,No,No
2377,M17236,Medium,299.2,308.3,1364,51.8,104,70655.2,No,No,No,No,No,No
2378,M17237,Medium,299.2,308.3,1582,45.5,107,71981.0,No,No,No,No,No,No
2379,L49558,Low,299.1,308.2,1348,56.1,110,75622.8,No,No,No,No,No,No
2380,H31793,High,299.1,308.2,1450,46.1,112,66845.0,No,No,No,No,No,No
2381,L49560,Low,299.0,308.1,1242,60.9,117,75637.8,No,No,No,No,No,No
2382,L49561,Low,299.1,308.2,1493,34.9,119,52105.7,No,No,No,No,No,No
2383,L49562,Low,299.1,308.3,1601,31.4,121,50271.399999999994,No,No,No,No,No,No
2384,L49563,Low,299.1,308.2,1568,33.3,123,52214.399999999994,No,No,No,No,No,No
2385,M17244,Medium,299.1,308.3,1506,38.0,125,57228.0,No,No,No,No,No,No
2386,L49565,Low,299.1,308.3,1524,34.1,128,51968.4,No,No,No,No,No,No
2387,L49566,Low,299.1,308.4,1543,37.9,130,58479.7,No,No,No,No,No,No
2388,M17247,Medium,299.2,308.5,1474,47.2,132,69572.8,No,No,No,No,No,No
2389,M17248,Medium,299.2,308.5,1526,37.3,135,56919.799999999996,No,No,No,No,No,No
2390,L49569,Low,299.2,308.5,1867,27.0,138,50409.0,No,No,No,No,No,No
2391,L49570,Low,299.2,308.5,1487,41.2,140,61264.4,No,No,No,No,No,No
2392,L49571,Low,299.2,308.4,1580,32.6,142,51508.0,No,No,No,No,No,No
2393,L49572,Low,299.2,308.5,1340,50.0,144,67000.0,No,No,No,No,No,No
2394,L49573,Low,299.2,308.5,1544,41.6,146,64230.4,No,No,No,No,No,No
2395,L49574,Low,299.2,308.5,1488,40.3,148,59966.399999999994,No,No,No,No,No,No
2396,M17255,Medium,299.2,308.5,1742,28.9,150,50343.799999999996,No,No,No,No,No,No
2397,M17256,Medium,299.1,308.5,1592,34.2,153,54446.4,No,No,No,No,No,No
2398,L49577,Low,299.2,308.6,1582,38.8,156,61381.6,No,No,No,No,No,No
2399,L49578,Low,299.2,308.5,1490,43.2,158,64368.00000000001,No,No,No,No,No,No
2400,M17259,Medium,299.2,308.5,1594,35.8,160,57065.2,No,No,No,No,No,No
2401,H31814,High,299.2,308.6,1462,55.0,163,80410.0,No,No,No,No,No,No
2402,M17261,Medium,299.2,308.6,1367,47.6,168,65069.200000000004,No,No,No,No,No,No
2403,L49582,Low,299.2,308.7,1325,51.0,171,67575.0,No,No,No,No,No,No
2404,H31817,High,299.2,308.7,1448,51.4,173,74427.2,No,No,No,No,No,No
2405,M17264,Medium,299.1,308.7,2008,20.3,178,40762.4,No,No,No,No,No,No
2406,L49585,Low,299.1,308.7,1498,38.9,181,58272.2,No,No,No,No,No,No
2407,L49586,Low,299.1,308.6,1437,41.6,183,59779.200000000004,No,No,No,No,No,No
2408,M17267,Medium,299.1,308.6,1499,45.1,185,67604.90000000001,No,No,No,No,No,No
2409,L49588,Low,299.0,308.4,1356,52.6,188,71325.6,No,No,No,No,No,No
2410,L49589,Low,299.1,308.5,1539,46.8,190,72025.2,No,No,No,No,No,No
2411,L49590,Low,299.1,308.5,1689,32.1,192,54216.9,No,No,No,No,No,No
2412,L49591,Low,299.0,308.5,1559,38.1,194,59397.9,No,No,No,No,No,No
2413,L49592,Low,299.1,308.6,1408,46.7,196,65753.6,No,No,No,No,No,No
2414,L49593,Low,299.0,308.5,1886,23.0,198,43378.0,No,No,No,No,No,No
2415,L49594,Low,299.1,308.5,1415,43.4,0,61411.0,No,No,No,No,No,No
2416,M17275,Medium,299.1,308.5,1587,35.6,2,56497.200000000004,No,No,No,No,No,No
2417,L49596,Low,299.0,308.4,1571,38.6,5,60640.600000000006,No,No,No,No,No,No
2418,L49597,Low,298.9,308.3,1576,36.6,7,57681.600000000006,No,No,No,No,No,No
2419,L49598,Low,298.9,308.3,1660,34.4,9,57104.0,No,No,No,No,No,No
2420,M17279,Medium,298.9,308.2,1328,49.2,11,65337.600000000006,No,No,No,No,No,No
2421,H31834,High,298.8,308.2,1450,44.7,14,64815.00000000001,No,No,No,No,No,No
2422,L49601,Low,298.9,308.2,2384,15.0,19,35760.0,No,No,No,No,No,No
2423,L49602,Low,298.8,308.2,1443,53.4,21,77056.2,No,No,No,No,No,No
2424,M17283,Medium,298.9,308.2,2022,20.0,23,40440.0,No,No,No,No,No,No
2425,L49604,Low,298.9,308.2,1828,23.8,26,43506.4,No,No,No,No,No,No
2426,L49605,Low,298.8,308.1,1472,53.5,28,78752.0,No,No,No,No,No,No
2427,M17286,Medium,298.9,308.2,1372,63.6,30,87259.2,No,No,Yes,No,No,Yes
2428,L49607,Low,298.9,308.3,1855,23.8,33,44149.0,No,No,No,No,No,No
2429,M17288,Medium,299.0,308.3,1377,47.2,35,64994.4,No,No,No,No,No,No
2430,L49609,Low,298.9,308.3,1432,48.9,38,70024.8,No,No,No,No,No,No
2431,M17290,Medium,298.9,308.2,1335,47.8,40,63812.99999999999,No,No,No,No,No,No
2432,M17291,Medium,298.9,308.2,1411,51.3,43,72384.3,No,No,No,No,No,No
2433,L49612,Low,298.9,308.2,1510,43.5,46,65685.0,No,No,No,No,No,No
2434,L49613,Low,299.0,308.3,1441,44.0,48,63404.0,No,No,No,No,No,No
2435,M17294,Medium,299.0,308.2,1358,42.7,50,57986.600000000006,No,No,No,No,No,No
2436,L49615,Low,298.9,308.2,1686,30.4,53,51254.399999999994,No,No,No,No,No,No
2437,H31850,High,299.0,308.2,1662,30.4,55,50524.799999999996,No,No,No,No,No,No
2438,L49617,Low,299.1,308.3,1426,40.1,60,57182.6,No,No,No,No,No,No
2439,M17298,Medium,299.1,308.4,1330,53.6,62,71288.0,No,No,No,No,No,No
2440,L49619,Low,299.1,308.4,1693,31.6,65,53498.8,No,No,No,No,No,No
2441,L49620,Low,299.1,308.4,1426,47.9,67,68305.4,No,No,No,No,No,No
2442,L49621,Low,299.1,308.5,1676,31.0,69,51956.0,No,No,No,No,No,No
2443,M17302,Medium,299.1,308.4,1332,51.7,71,68864.40000000001,No,No,No,No,No,No
2444,L49623,Low,299.1,308.5,1647,35.0,74,57645.0,No,No,No,No,No,No
2445,L49624,Low,299.2,308.6,1267,68.2,76,86409.40000000001,No,No,Yes,No,No,Yes
2446,H31859,High,299.2,308.7,1375,55.1,78,75762.5,No,No,No,No,No,No
2447,L49626,Low,299.3,308.6,1422,48.9,83,69535.8,No,No,No,No,No,No
2448,L49627,Low,299.3,308.7,1408,48.7,85,68569.6,No,No,No,No,No,No
2449,L49628,Low,299.4,308.9,1440,42.5,87,61200.0,No,No,No,No,No,No
2450,L49629,Low,299.3,308.8,1772,25.2,89,44654.4,No,No,No,No,No,No
2451,L49630,Low,299.2,308.7,1492,37.8,91,56397.6,No,No,No,No,No,No
2452,L49631,Low,299.2,308.7,1650,30.5,93,50325.0,No,No,No,No,No,No
2453,M17312,Medium,299.1,308.6,2329,14.6,95,34003.4,No,No,No,No,No,No
2454,L49633,Low,299.0,308.6,1648,30.8,98,50758.4,No,No,No,No,No,No
2455,L49634,Low,299.0,308.6,1653,31.7,100,52400.1,No,No,No,No,No,No
2456,L49635,Low,299.0,308.6,1946,22.3,102,43395.8,No,No,No,No,No,No
2457,L49636,Low,299.1,308.6,1555,36.6,104,56913.0,No,No,No,No,No,No
2458,L49637,Low,299.0,308.6,1661,32.2,106,53484.200000000004,No,No,No,No,No,No
2459,L49638,Low,299.0,308.6,1434,45.9,108,65820.59999999999,No,No,No,No,No,No
2460,L49639,Low,299.0,308.6,1297,54.2,110,70297.40000000001,No,No,No,No,No,No
2461,L49640,Low,299.0,308.6,1466,46.4,112,68022.4,No,No,No,No,No,No
2462,M17321,Medium,298.9,308.6,1517,39.8,114,60376.6,No,No,No,No,No,No
2463,L49642,Low,298.9,308.5,1742,34.5,117,60099.0,No,No,No,No,No,No
2464,L49643,Low,298.9,308.5,1580,39.1,119,61778.0,No,No,No,No,No,No
2465,M17324,Medium,298.9,308.5,1534,42.9,121,65808.59999999999,No,No,No,No,No,No
2466,L49645,Low,298.9,308.6,1481,40.7,124,60276.700000000004,No,No,No,No,No,No
2467,L49646,Low,299.0,308.6,1429,37.7,126,53873.3,No,No,No,No,No,No
2468,M17327,Medium,298.9,308.6,1574,33.5,128,52729.0,No,No,No,No,No,No
2469,M17328,Medium,298.9,308.6,1524,40.4,131,61569.6,No,No,No,No,No,No
2470,L49649,Low,299.0,308.7,1507,37.5,134,56512.5,No,No,No,No,No,No
2471,L49650,Low,298.9,308.5,1467,44.7,136,65574.90000000001,No,No,No,No,No,No
2472,L49651,Low,298.9,308.4,1301,51.1,138,66481.1,No,No,No,No,No,No
2473,L49652,Low,298.9,308.5,1429,55.1,140,78737.90000000001,No,No,No,No,No,No
2474,M17333,Medium,298.9,308.5,1555,37.6,142,58468.0,No,No,No,No,No,No
2475,L49654,Low,298.9,308.5,1503,40.6,145,61021.8,No,No,No,No,No,No
2476,L49655,Low,298.9,308.5,1459,43.1,147,62882.9,No,No,No,No,No,No
2477,H31890,High,298.9,308.4,1449,42.4,149,61437.6,No,No,No,No,No,No
2478,L49657,Low,298.9,308.5,1387,57.3,154,79475.09999999999,No,No,No,No,No,No
2479,M17338,Medium,298.9,308.5,1456,50.0,156,72800.0,No,No,No,No,No,No
2480,L49659,Low,299.0,308.5,1604,34.7,159,55658.8,No,No,No,No,No,No
2481,L49660,Low,299.0,308.6,1734,32.4,161,56181.6,No,No,No,No,No,No
2482,L49661,Low,299.0,308.6,1378,47.8,163,65868.4,No,No,No,No,No,No
2483,L49662,Low,298.9,308.7,1504,41.8,165,62867.2,No,No,No,No,No,No
2484,M17343,Medium,298.9,308.7,1402,49.8,167,69819.59999999999,No,No,No,No,No,No
2485,H31898,High,298.8,308.6,1524,37.7,170,57454.8,No,No,No,No,No,No
2486,L49665,Low,298.8,308.6,1593,35.5,175,56551.5,No,No,No,No,No,No
2487,M17346,Medium,298.9,308.7,1772,28.4,177,50324.799999999996,No,No,No,No,No,No
2488,H31901,High,298.9,308.6,1623,31.0,180,50313.0,No,No,No,No,No,No
2489,L49668,Low,298.9,308.7,1356,50.7,185,68749.2,No,No,No,No,No,No
2490,H31903,High,298.9,308.7,1500,41.6,187,62400.0,No,No,No,No,No,No
2491,H31904,High,299.1,308.8,1566,46.6,192,72975.6,No,No,No,No,No,No
2492,L49671,Low,299.1,308.9,1445,43.4,197,62713.0,No,No,No,No,No,No
2493,H31906,High,299.0,308.8,1382,58.5,199,80847.0,No,No,No,No,No,No
2494,M17353,Medium,299.0,308.8,1418,45.7,204,64802.600000000006,No,No,No,No,No,No
2495,L49674,Low,299.1,308.8,1329,53.6,207,71234.40000000001,No,No,No,Yes,No,Yes
2496,M17355,Medium,299.1,308.8,1491,41.0,209,61131.0,No,No,No,No,No,No
2497,M17356,Medium,299.2,308.9,1573,37.4,212,58830.2,No,No,No,No,No,No
2498,M17357,Medium,299.2,308.9,1521,42.3,215,64338.299999999996,No,No,No,No,No,No
2499,L49678,Low,299.1,308.9,1467,47.2,218,69242.40000000001,No,No,No,No,No,No
2500,M17359,Medium,299.1,308.9,1325,48.4,220,64130.0,No,No,No,No,No,No
2501,L49680,Low,299.1,308.9,1617,32.3,223,52229.1,No,No,No,No,No,No
2502,M17361,Medium,299.1,308.9,1476,42.7,225,63025.200000000004,No,No,No,No,No,No
2503,L49682,Low,299.2,309.0,1515,48.9,228,74083.5,No,No,No,Yes,No,Yes
2504,L49683,Low,299.2,309.0,1408,47.2,0,66457.6,No,No,No,No,No,No
2505,L49684,Low,299.2,309.1,1468,45.6,2,66940.8,No,No,No,No,No,No
2506,L49685,Low,299.2,309.1,1387,48.7,4,67546.90000000001,No,No,No,No,No,No
2507,M17366,Medium,299.2,309.1,1503,34.7,6,52154.100000000006,No,No,No,No,No,No
2508,H31921,High,299.2,309.1,1410,47.1,9,66411.0,No,No,No,No,No,No
2509,L49688,Low,299.0,308.9,1615,30.6,14,49419.0,No,No,No,No,No,No
2510,L49689,Low,299.0,308.9,1511,35.9,16,54244.9,No,No,No,No,No,No
2511,L49690,Low,299.1,309.0,1405,53.8,18,75589.0,No,No,No,No,No,No
2512,M17371,Medium,299.0,308.9,1526,41.1,20,62718.6,No,No,No,No,No,No
2513,L49692,Low,298.9,308.8,1530,38.3,23,58598.99999999999,No,No,No,No,No,No
2514,L49693,Low,299.0,308.7,1583,32.5,25,51447.5,No,No,No,No,No,No
2515,L49694,Low,298.9,308.6,2069,18.7,27,38690.299999999996,No,No,No,No,No,No
2516,L49695,Low,298.8,308.5,1490,35.0,29,52150.0,No,No,No,No,No,No
2517,L49696,Low,298.8,308.5,1736,29.0,31,50344.0,No,No,No,No,No,No
2518,L49697,Low,298.8,308.5,1395,44.4,33,61938.0,No,No,No,No,No,No
2519,M17378,Medium,298.9,308.6,1425,49.6,35,70680.0,No,No,No,No,No,No
2520,L49699,Low,298.8,308.6,1631,32.4,38,52844.399999999994,No,No,No,No,No,No
2521,L49700,Low,298.8,308.6,1535,41.2,40,63242.00000000001,No,No,No,No,No,No
2522,L49701,Low,298.8,308.6,1584,34.4,42,54489.6,No,No,No,No,No,No
2523,M17382,Medium,298.8,308.7,1543,38.2,44,58942.600000000006,No,No,No,No,No,No
2524,L49703,Low,298.8,308.7,1635,35.2,47,57552.00000000001,No,No,No,No,No,No
2525,M17384,Medium,298.8,308.7,1446,45.5,49,65793.0,No,No,No,No,No,No
2526,M17385,Medium,298.8,308.6,1598,35.1,52,56089.8,No,No,No,No,No,No
2527,L49706,Low,298.8,308.6,1501,35.0,55,52535.0,No,No,No,No,No,No
2528,L49707,Low,298.8,308.5,1450,50.8,57,73660.0,No,No,No,No,No,No
2529,L49708,Low,298.8,308.6,1730,25.9,59,44807.0,No,No,No,No,No,No
2530,M17389,Medium,298.8,308.6,1571,33.7,61,52942.700000000004,No,No,No,No,No,No
2531,L49710,Low,298.9,308.7,1438,51.7,64,74344.6,No,No,No,No,No,No
2532,M17391,Medium,298.8,308.5,1510,38.7,66,58437.00000000001,No,No,No,No,No,No
2533,L49712,Low,298.9,308.7,1389,44.9,69,62366.1,No,No,No,No,No,No
2534,L49713,Low,298.8,308.7,1490,33.6,71,50064.0,No,No,No,No,No,No
2535,L49714,Low,298.9,308.7,1729,26.6,73,45991.4,No,No,No,No,No,No
2536,L49715,Low,299.0,308.8,1495,38.4,75,57408.0,No,No,No,No,No,No
2537,L49716,Low,298.9,308.8,1281,53.9,77,69045.9,No,No,No,No,No,No
2538,H31951,High,298.9,308.7,1353,48.1,79,65079.3,No,No,No,No,No,No
2539,L49718,Low,299.1,308.8,1429,50.1,84,71592.90000000001,No,No,No,No,No,No
2540,L49719,Low,299.1,308.8,1413,42.1,86,59487.3,No,No,No,No,No,No
2541,L49720,Low,299.1,308.8,1502,38.3,88,57526.6,No,No,No,No,No,No
2542,H31955,High,299.1,308.8,1553,32.6,90,50627.8,No,No,No,No,No,No
2543,H31956,High,299.2,308.9,1712,26.4,95,45196.799999999996,No,No,No,No,No,No
2544,L49723,Low,299.3,309.0,1786,23.5,100,41971.0,No,No,No,No,No,No
2545,L49724,Low,299.2,309.0,1951,21.4,102,41751.399999999994,No,No,No,No,No,No
2546,M17405,Medium,299.2,309.0,1541,36.3,104,55938.299999999996,No,No,No,No,No,No
2547,L49726,Low,299.2,309.1,1605,34.3,107,55051.49999999999,No,No,No,No,No,No
2548,L49727,Low,299.2,309.1,1578,38.1,109,60121.8,No,No,No,No,No,No
2549,M17408,Medium,299.3,309.2,1440,37.5,111,54000.0,No,No,No,No,No,No
2550,L49729,Low,299.4,309.2,1489,42.3,114,62984.7,No,No,No,No,No,No
2551,L49730,Low,299.4,309.3,1366,48.4,116,66114.4,No,No,No,No,No,No
2552,L49731,Low,299.3,309.2,1541,37.2,118,57325.200000000004,No,No,No,No,No,No
2553,H31966,High,299.3,309.1,1552,40.7,120,63166.4,No,No,No,No,No,No
2554,L49733,Low,299.3,309.1,1473,40.3,125,59361.899999999994,No,No,No,No,No,No
2555,L49734,Low,299.3,309.1,1531,37.9,127,58024.9,No,No,No,No,No,No
2556,L49735,Low,299.3,309.2,1511,37.2,129,56209.200000000004,No,No,No,No,No,No
2557,M17416,Medium,299.3,309.1,1449,47.9,131,69407.09999999999,No,No,No,No,No,No
2558,M17417,Medium,299.4,309.1,1440,50.0,134,72000.0,No,No,No,No,No,No
2559,M17418,Medium,299.2,309.0,1881,23.9,137,44955.899999999994,No,No,No,No,No,No
2560,L49739,Low,299.3,309.0,1447,50.4,140,72928.8,No,No,No,No,Yes,Yes
2561,M17420,Medium,299.4,309.1,1326,62.0,142,82212.0,No,No,No,No,No,No
2562,L49741,Low,299.4,309.2,1607,31.7,145,50941.9,No,No,No,No,No,No
2563,L49742,Low,299.3,309.1,1551,39.1,147,60644.100000000006,No,No,No,No,No,No
